TITLE = " Ionization Mass Fractions"
Variables = " Ar+", "N+", "O+", "e-", "T"
Zone T= "Temperature", I=1000, F=POINT
2.24386e-07 9.72597e-06 2.37176e-05 3.36679e-05 6044.38
2.29198e-07 1.00151e-05 2.40899e-05 3.43342e-05 6052.65
2.34063e-07 1.03097e-05 2.44641e-05 3.50079e-05 6060.87
2.38982e-07 1.06099e-05 2.484e-05 3.5689e-05 6069.04
2.43954e-07 1.09158e-05 2.52178e-05 3.63775e-05 6077.17
2.4898e-07 1.12273e-05 2.55973e-05 3.70736e-05 6085.24
2.5406e-07 1.15445e-05 2.59787e-05 3.77772e-05 6093.27
2.59193e-07 1.18674e-05 2.63617e-05 3.84884e-05 6101.26
2.64379e-07 1.21962e-05 2.67466e-05 3.92071e-05 6109.2
2.69619e-07 1.25307e-05 2.71331e-05 3.99335e-05 6117.09
2.74913e-07 1.28712e-05 2.75214e-05 4.06675e-05 6124.94
2.80261e-07 1.32176e-05 2.79113e-05 4.14091e-05 6132.75
2.85662e-07 1.35699e-05 2.83029e-05 4.21585e-05 6140.52
2.91116e-07 1.39283e-05 2.86962e-05 4.29156e-05 6148.24
2.96625e-07 1.42927e-05 2.90912e-05 4.36805e-05 6155.93
3.02187e-07 1.46632e-05 2.94878e-05 4.44532e-05 6163.57
3.07803e-07 1.50398e-05 2.9886e-05 4.52336e-05 6171.18
3.13472e-07 1.54226e-05 3.02859e-05 4.6022e-05 6178.74
3.19196e-07 1.58116e-05 3.06874e-05 4.68182e-05 6186.27
3.24974e-07 1.62069e-05 3.10905e-05 4.76224e-05 6193.76
3.30805e-07 1.66085e-05 3.14951e-05 4.84345e-05 6201.22
3.3669e-07 1.70165e-05 3.19014e-05 4.92546e-05 6208.63
3.4263e-07 1.74308e-05 3.23092e-05 5.00827e-05 6216.02
3.48623e-07 1.78516e-05 3.27186e-05 5.09188e-05 6223.36
3.54671e-07 1.82789e-05 3.31295e-05 5.1763e-05 6230.67
3.60772e-07 1.87126e-05 3.35419e-05 5.26153e-05 6237.95
3.66928e-07 1.9153e-05 3.39559e-05 5.34758e-05 6245.19
3.73139e-07 1.95999e-05 3.43714e-05 5.43445e-05 6252.4
3.79403e-07 2.00535e-05 3.47884e-05 5.52213e-05 6259.58
3.85722e-07 2.05137e-05 3.5207e-05 5.61064e-05 6266.72
3.92095e-07 2.09807e-05 3.5627e-05 5.69998e-05 6273.84
3.98523e-07 2.14545e-05 3.60485e-05 5.79015e-05 6280.92
4.05005e-07 2.19351e-05 3.64715e-05 5.88116e-05 6287.97
4.11542e-07 2.24225e-05 3.6896e-05 5.973e-05 6294.99
4.18134e-07 2.29168e-05 3.73219e-05 6.06568e-05 6301.98
4.2478e-07 2.3418e-05 3.77493e-05 6.15921e-05 6308.94
4.31482e-07 2.39263e-05 3.81781e-05 6.25359e-05 6315.87
4.38238e-07 2.44415e-05 3.86084e-05 6.34882e-05 6322.78
4.45049e-07 2.49638e-05 3.90402e-05 6.4449e-05 6329.65
4.51915e-07 2.54932e-05 3.94733e-05 6.54185e-05 6336.5
4.58836e-07 2.60298e-05 3.99079e-05 6.63966e-05 6343.32
4.65813e-07 2.65736e-05 4.0344e-05 6.73833e-05 6350.11
4.72845e-07 2.71245e-05 4.07814e-05 6.83788e-05 6356.88
4.79932e-07 2.76828e-05 4.12203e-05 6.9383e-05 6363.62
4.87075e-07 2.82484e-05 4.16605e-05 7.0396e-05 6370.33
4.94273e-07 2.88213e-05 4.21022e-05 7.14178e-05 6377.02
5.01528e-07 2.94016e-05 4.25453e-05 7.24484e-05 6383.68
5.08837e-07 2.99894e-05 4.29897e-05 7.3488e-05 6390.32
5.16203e-07 3.05846e-05 4.34356e-05 7.45365e-05 6396.93
5.23625e-07 3.11874e-05 4.38829e-05 7.55939e-05 6403.52
5.31103e-07 3.17978e-05 4.43315e-05 7.66604e-05 6410.09
5.38637e-07 3.24157e-05 4.47815e-05 7.77359e-05 6416.63
5.46227e-07 3.30413e-05 4.52329e-05 7.88205e-05 6423.15
5.53874e-07 3.36747e-05 4.56857e-05 7.99142e-05 6429.64
5.61578e-07 3.43157e-05 4.61398e-05 8.10171e-05 6436.11
5.69338e-07 3.49645e-05 4.65953e-05 8.21292e-05 6442.56
5.77155e-07 3.56212e-05 4.70522e-05 8.32505e-05 6448.99
5.85028e-07 3.62857e-05 4.75104e-05 8.43812e-05 6455.4
5.92959e-07 3.69582e-05 4.797e-05 8.55212e-05 6461.79
6.00947e-07 3.76386e-05 4.8431e-05 8.66705e-05 6468.15
6.08992e-07 3.8327e-05 4.88933e-05 8.78293e-05 6474.49
6.17095e-07 3.90234e-05 4.9357e-05 8.89975e-05 6480.82
6.25255e-07 3.9728e-05 4.9822e-05 9.01752e-05 6487.12
6.33473e-07 4.04406e-05 5.02884e-05 9.13625e-05 6493.4
6.41749e-07 4.11615e-05 5.07562e-05 9.25594e-05 6499.67
6.50083e-07 4.18905e-05 5.12253e-05 9.37659e-05 6505.91
6.58475e-07 4.26279e-05 5.16957e-05 9.4982e-05 6512.13
6.66926e-07 4.33735e-05 5.21675e-05 9.62079e-05 6518.34
6.75435e-07 4.41275e-05 5.26407e-05 9.74436e-05 6524.52
6.84002e-07 4.48899e-05 5.31152e-05 9.8689e-05 6530.69
6.92628e-07 4.56607e-05 5.3591e-05 9.99443e-05 6536.84
7.01313e-07 4.644e-05 5.40682e-05 0.00010121 6542.97
7.10058e-07 4.72279e-05 5.45468e-05 0.000102485 6549.09
7.18861e-07 4.80243e-05 5.50267e-05 0.00010377 6555.18
7.27724e-07 4.88294e-05 5.5508e-05 0.000105065 6561.26
7.36647e-07 4.96431e-05 5.59906e-05 0.00010637 6567.33
7.45629e-07 5.04656e-05 5.64745e-05 0.000107686 6573.37
7.54672e-07 5.12968e-05 5.69599e-05 0.000109011 6579.4
7.63774e-07 5.21368e-05 5.74465e-05 0.000110347 6585.41
7.72937e-07 5.29857e-05 5.79346e-05 0.000111693 6591.41
7.8216e-07 5.38435e-05 5.8424e-05 0.00011305 6597.39
7.91445e-07 5.47103e-05 5.89147e-05 0.000114416 6603.35
8.0079e-07 5.5586e-05 5.94068e-05 0.000115794 6609.3
8.10196e-07 5.64708e-05 5.99003e-05 0.000117181 6615.23
8.19663e-07 5.73647e-05 6.03952e-05 0.00011858 6621.15
8.29193e-07 5.82677e-05 6.08914e-05 0.000119988 6627.05
8.38783e-07 5.91799e-05 6.1389e-05 0.000121408 6632.94
8.48436e-07 6.01014e-05 6.18879e-05 0.000122838 6638.82
8.58151e-07 6.10322e-05 6.23882e-05 0.000124279 6644.67
8.67929e-07 6.19723e-05 6.28899e-05 0.00012573 6650.52
8.77768e-07 6.29218e-05 6.3393e-05 0.000127193 6656.35
8.87671e-07 6.38807e-05 6.38975e-05 0.000128666 6662.17
8.97637e-07 6.48491e-05 6.44034e-05 0.00013015 6667.97
9.07666e-07 6.58271e-05 6.49106e-05 0.000131645 6673.76
9.17759e-07 6.68146e-05 6.54192e-05 0.000133152 6679.54
9.27915e-07 6.78118e-05 6.59293e-05 0.000134669 6685.3
9.38136e-07 6.88187e-05 6.64407e-05 0.000136198 6691.05
9.4842e-07 6.98353e-05 6.69536e-05 0.000137737 6696.79
9.58769e-07 7.08617e-05 6.74678e-05 0.000139288 6702.51
9.69183e-07 7.1898e-05 6.79835e-05 0.000140851 6708.22
9.79662e-07 7.29441e-05 6.85005e-05 0.000142424 6713.92
9.90206e-07 7.40002e-05 6.9019e-05 0.000144009 6719.61
1.00082e-06 7.50663e-05 6.9539e-05 0.000145606 6725.28
1.01149e-06 7.61425e-05 7.00603e-05 0.000147214 6730.95
1.02223e-06 7.72288e-05 7.05831e-05 0.000148834 6736.6
1.03304e-06 7.83253e-05 7.11073e-05 0.000150466 6742.24
1.04392e-06 7.94319e-05 7.1633e-05 0.000152109 6747.87
1.05486e-06 8.05489e-05 7.21601e-05 0.000153764 6753.49
1.06586e-06 8.16761e-05 7.26886e-05 0.000155431 6759.09
1.07694e-06 8.28138e-05 7.32187e-05 0.000157109 6764.69
1.08808e-06 8.39619e-05 7.37502e-05 0.0001588 6770.27
1.0993e-06 8.51205e-05 7.42831e-05 0.000160503 6775.84
1.11058e-06 8.62896e-05 7.48175e-05 0.000162218 6781.41
1.12192e-06 8.74694e-05 7.53534e-05 0.000163945 6786.96
1.13334e-06 8.86598e-05 7.58908e-05 0.000165684 6792.5
1.14483e-06 8.9861e-05 7.64297e-05 0.000167436 6798.04
1.15639e-06 9.10729e-05 7.69701e-05 0.000169199 6803.56
